X,Y,Settlement_mm
17.0000,8.0000,0.957229
18.0000,8.0000,0.840142
19.0000,8.0000,0.774531
20.0000,8.0000,0.753377
0.0000,9.0000,0.772553
1.0000,9.0000,0.795379
2.0000,9.0000,0.866485
3.0000,9.0000,0.994654
4.0000,9.0000,1.197786
5.0000,9.0000,1.511910
6.0000,9.0000,2.002930
7.0000,9.0000,2.875821
8.0000,9.0000,4.229351
9.0000,9.0000,10.492767
10.0000,9.0000,11.125335
11.0000,9.0000,10.492767
12.0000,9.0000,4.229351
13.0000,9.0000,2.875821
14.0000,9.0000,2.002930
15.0000,9.0000,1.511910
16.0000,9.0000,1.197786
17.0000,9.0000,0.994654
18.0000,9.0000,0.866485
19.0000,9.0000,0.795379
20.0000,9.0000,0.772553
0.0000,10.0000,0.779215
1.0000,10.0000,0.802633
2.0000,10.0000,0.875701
3.0000,10.0000,1.007815
4.0000,10.0000,1.218565
5.0000,10.0000,1.546763
6.0000,10.0000,2.073710
7.0000,10.0000,3.002046
8.0000,10.0000,4.864548
9.0000,10.0000,11.125335
10.0000,10.0000,12.219073
11.0000,10.0000,11.125335
12.0000,10.0000,4.864548
13.0000,10.0000,3.002046
14.0000,10.0000,2.073710
15.0000,10.0000,1.546763
16.0000,10.0000,1.218565
17.0000,10.0000,1.007815
18.0000,10.0000,0.875701
19.0000,10.0000,0.802633
20.0000,10.0000,0.779215
0.0000,11.0000,0.772553
1.0000,11.0000,0.795379
2.0000,11.0000,0.866485
3.0000,11.0000,0.994654
4.0000,11.0000,1.197786
5.0000,11.0000,1.511910
6.0000,11.0000,2.002930
7.0000,11.0000,2.875821
8.0000,11.0000,4.229351
9.0000,11.0000,10.492767
10.0000,11.0000,11.125335
11.0000,11.0000,10.492767
12.0000,11.0000,4.229351
13.0000,11.0000,2.875821
14.0000,11.0000,2.002930
15.0000,11.0000,1.511910
16.0000,11.0000,1.197786
17.0000,11.0000,0.994654
18.0000,11.0000,0.866485
19.0000,11.0000,0.795379
20.0000,11.0000,0.772553
0.0000,12.0000,0.753377
1.0000,12.0000,0.774531
2.0000,12.0000,0.840142
3.0000,12.0000,0.957229
4.0000,12.0000,1.139877
5.0000,12.0000,1.413289
6.0000,12.0000,1.827838
7.0000,12.0000,2.452121
8.0000,12.0000,3.583212
9.0000,12.0000,4.229351
10.0000,12.0000,4.864548
11.0000,12.0000,4.229351
12.0000,12.0000,3.583212
13.0000,12.0000,2.452121
14.0000,12.0000,1.827838
15.0000,12.0000,1.413289
16.0000,12.0000,1.139877
17.0000,12.0000,0.957229
18.0000,12.0000,0.840142
19.0000,12.0000,0.774531
20.0000,12.0000,0.753377
0.0000,13.0000,0.723979
1.0000,13.0000,0.742670
2.0000,13.0000,0.800235
3.0000,13.0000,0.901425
4.0000,13.0000,1.055052
5.0000,13.0000,1.275631
6.0000,13.0000,1.582692
7.0000,13.0000,2.004169
8.0000,13.0000,2.452121
9.0000,13.0000,2.875821
10.0000,13.0000,3.002046
11.0000,13.0000,2.875821
12.0000,13.0000,2.452121
13.0000,13.0000,2.004169
14.0000,13.0000,1.582692
15.0000,13.0000,1.275631
16.0000,13.0000,1.055052
17.0000,13.0000,0.901425
18.0000,13.0000,0.800235
19.0000,13.0000,0.742670
20.0000,13.0000,0.723979
0.0000,14.0000,0.687740
1.0000,14.0000,0.703566
2.0000,14.0000,0.751874
3.0000,14.0000,0.835164
4.0000,14.0000,0.957538
5.0000,14.0000,1.123888
6.0000,14.0000,1.337054
7.0000,14.0000,1.582692
8.0000,14.0000,1.827838
9.0000,14.0000,2.002930
10.0000,14.0000,2.073710
11.0000,14.0000,2.002930
12.0000,14.0000,1.827838
13.0000,14.0000,1.582692
14.0000,14.0000,1.337054
15.0000,14.0000,1.123888
16.0000,14.0000,0.957538
17.0000,14.0000,0.835164
18.0000,14.0000,0.751874
19.0000,14.0000,0.703566
20.0000,14.0000,0.687740
0.0000,15.0000,0.648606
1.0000,15.0000,0.661554
2.0000,15.0000,0.700686
3.0000,15.0000,0.766747
4.0000,15.0000,0.860454
5.0000,15.0000,0.981195
6.0000,15.0000,1.123888
7.0000,15.0000,1.275631
8.0000,15.0000,1.413289
9.0000,15.0000,1.511910
10.0000,15.0000,1.546763
11.0000,15.0000,1.511910
12.0000,15.0000,1.413289
13.0000,15.0000,1.275631
14.0000,15.0000,1.123888
15.0000,15.0000,0.981195
16.0000,15.0000,0.860454
17.0000,15.0000,0.766747
18.0000,15.0000,0.700686
19.0000,15.0000,0.661554
20.0000,15.0000,0.648606
0.0000,16.0000,0.610547
1.0000,16.0000,0.620914
2.0000,16.0000,0.651941
3.0000,16.0000,0.703258
4.0000,16.0000,0.773722
5.0000,16.0000,0.860454
6.0000,16.0000,0.957538
7.0000,16.0000,1.055052
8.0000,16.0000,1.139877
9.0000,16.0000,1.197786
10.0000,16.0000,1.218565
11.0000,16.0000,1.197786
12.0000,16.0000,1.139877
13.0000,16.0000,1.055052
14.0000,16.0000,0.957538
15.0000,16.0000,0.860454
16.0000,16.0000,0.773722
17.0000,16.0000,0.703258
18.0000,16.0000,0.651941
19.0000,16.0000,0.620914
20.0000,16.0000,0.610547
0.0000,17.0000,0.577119
1.0000,17.0000,0.585401
2.0000,17.0000,0.609970
3.0000,17.0000,0.649889
4.0000,17.0000,0.703258
5.0000,17.0000,0.766747
6.0000,17.0000,0.835164
7.0000,17.0000,0.901425
8.0000,17.0000,0.957229
9.0000,17.0000,0.994654
10.0000,17.0000,1.007815
11.0000,17.0000,0.994654
12.0000,17.0000,0.957229
13.0000,17.0000,0.901425
14.0000,17.0000,0.835164
15.0000,17.0000,0.766747
16.0000,17.0000,0.703258
17.0000,17.0000,0.649889
18.0000,17.0000,0.609970
19.0000,17.0000,0.585401
20.0000,17.0000,0.577119
0.0000,18.0000,0.551193
1.0000,18.0000,0.557975
2.0000,18.0000,0.577952
3.0000,18.0000,0.609970
4.0000,18.0000,0.651941
5.0000,18.0000,0.700686
6.0000,18.0000,0.751874
7.0000,18.0000,0.800235
8.0000,18.0000,0.840142
9.0000,18.0000,0.866485
10.0000,18.0000,0.875701
11.0000,18.0000,0.866485
12.0000,18.0000,0.840142
13.0000,18.0000,0.800235
14.0000,18.0000,0.751874
15.0000,18.0000,0.700686
16.0000,18.0000,0.651941
17.0000,18.0000,0.609970
18.0000,18.0000,0.577952
19.0000,18.0000,0.557975
20.0000,18.0000,0.551193
0.0000,19.0000,0.534824
1.0000,19.0000,0.540711
2.0000,19.0000,0.557975
3.0000,19.0000,0.585401
4.0000,19.0000,0.620914
5.0000,19.0000,0.661554
6.0000,19.0000,0.703566
7.0000,19.0000,0.742670
8.0000,19.0000,0.774531
9.0000,19.0000,0.795379
10.0000,19.0000,0.802633
11.0000,19.0000,0.795379
12.0000,19.0000,0.774531
13.0000,19.0000,0.742670
14.0000,19.0000,0.703566
15.0000,19.0000,0.661554
16.0000,19.0000,0.620914
17.0000,19.0000,0.585401
18.0000,19.0000,0.557975
19.0000,19.0000,0.540711
20.0000,19.0000,0.534824
0.0000,20.0000,0.529234
1.0000,20.0000,0.534824
2.0000,20.0000,0.551193
3.0000,20.0000,0.577119
4.0000,20.0000,0.610547
5.0000,20.0000,0.648606
6.0000,20.0000,0.687740
7.0000,20.0000,0.723979
8.0000,20.0000,0.753377
9.0000,20.0000,0.772553
10.0000,20.0000,0.779215
11.0000,20.0000,0.772553
12.0000,20.0000,0.753377
13.0000,20.0000,0.723979
14.0000,20.0000,0.687740
15.0000,20.0000,0.648606
16.0000,20.0000,0.610547
17.0000,20.0000,0.577119
18.0000,20.0000,0.551193
19.0000,20.0000,0.534824
20.0000,20.0000,0.529234
